Municipio,ÓbtP/Ocor,Saneat,PibPerCapita,PrpBxRnd,RndMdDom,TxAnalf,PopEst
JACUTINGA,0,3593,43,21,635,7,3397
JAGUARAO,1,27695,30,85,611,6,27520
JAGUARI,0,11304,81,95,765,4,10856
JAQUIRANA,1,4173,35,12,382,9,3745
JARI,1,3536,2,54,408,7,3411
JOIA,1,8296,92,31,498,5,7379
JULIO DE CASTILHOS,3,19353,54,35,753,5,18674
LAGOA BONITA DO SUL,0,2655,84,70,608,12,2281
LAGOA DOS TRES CANTOS,0,1596,67,57,931,1,1748
LAGOA VERMELHA,12,27289,43,77,743,6,28592
LAGOAO,2,6156,43,57,429,19,5477
LAJEADO,21,70804,62,85,1114,2,94954
LAJEADO DO BUGRE,0,2487,99,91,337,16,2627
LAVRAS DO SUL,0,7624,67,57,543,9,7335
LIBERATO SALZANO,0,5772,54,74,549,11,4892
LINDOLFO COLLOR,0,5214,4,93,667,3,6322
LINHA NOVA,0,1624,89,54,855,3,1700
MACAMBARA,0,4718,69,80,487,7,4493
MACHADINHO,0,5493,47,39,651,11,5854
MAMPITUBA,0,3002,85,92,453,8,3170
MANOEL VIANA,0,7056,76,32,566,11,6935
MAQUINE,5,6886,24,3,602,7,7561
MARATA,0,2518,56,75,744,3,2503
MARAU,4,36209,71,35,979,2,46027
MARCELINO RAMOS,0,5061,71,37,772,5,4432
MARIANA PIMENTEL,0,3733,47,46,619,6,3977
MARIANO MORO,2,2207,68,85,924,7,1872
MARQUES DE SOUZA,0,4057,84,26,817,7,4045
MATA,0,5085,84,28,473,7,4814
MATO CASTELHANO,0,2323,61,41,857,6,2576
MATO LEITAO,0,3855,71,75,705,4,4911
MATO QUEIMADO,0,1792,36,48,611,8,1808
MAXIMILIANO DE ALMEIDA,0,4899,64,98,615,9,4292
MINAS DO LEAO,2,7623,67,79,791,10,7652
MIRAGUAI,2,4847,33,91,811,9,4531
MONTAURI,0,1536,66,46,1091,6,1504
